학교명,도로명주소,위도,경도,법정동,행정동
대청중학교,인천광역시 옹진군 대청면 대청로244번길 116-45 (대청면),37.8325852,124.6939792,대청면 대청리,대청면
재능중학교,"인천광역시 동구 재능로 178 (송림동, 재능중학교)",37.47554184,126.650465,송림동,송림3.5동
덕적중학교,"인천광역시 옹진군 덕적면 덕적남로 15 (덕적면, 덕적초중고등학교)",37.22538058,126.1481953,덕적면 진리,덕적면
동산중학교,"인천광역시 동구 동산로 58 , 동산중학교 (송림동, 동산중학교,동산고등학교)",37.47303977,126.6488935,송림동,송림3.5동
백령중학교,"인천광역시 옹진군 백령면 백령로 708 (백령면, 백령고등학교, 백령중학교)",37.96444697,124.6760478,백령면 북포리,백령면
선인중학교,"인천광역시 미추홀구 석정로 165 , 선인중학교 (도화동)",37.47396441,126.6519788,도화동,도화2.3동
선화여자중학교,"인천광역시 미추홀구 석정로 165 , 선화여자중학교 (도화동)",37.47396441,126.6519788,도화동,도화2.3동
송도중학교,"인천광역시 중구 제물량로 123 (답동, 송도중학교)",37.46822398,126.629074,답동,신포동
신흥여자중학교,"인천광역시 중구 인항로24번길 37 (신흥동3가, 신흥여자중학교)",37.45404114,126.632101,신흥동3가,신흥동
신흥중학교,인천광역시 중구 인항로24번길 38 (신흥동3가),37.4541787,126.6299576,신흥동3가,신흥동
연평중학교,"인천광역시 옹진군 연평면 연평로 137번길 , 101 (연평면)",37.66412421,125.7010233,연평면 연평리,연평면
영종중학교,"인천광역시 중구 남디로 92 (운남동, 영종중학교)",37.48351207,126.5252529,운남동,영종동
영흥중학교,"인천광역시 옹진군 영흥면 내동로 107 (영흥면, 영흥고등학교, 영흥중학교)",37.26520659,126.4794201,영흥면 내리,영흥면
용유중학교,인천광역시 중구 남북로87번길 4 (남북동),37.44825105,126.4123732,남북동,용유동
용현여자중학교,"인천광역시 미추홀구 낙섬동로 28 (용현동, 용현여자중학교)",37.44840638,126.6406704,용현동,용현5동
용현중학교,"인천광역시 미추홀구 낙섬동로 16 (용현동, 용현중학교)",37.44774694,126.6395809,용현동,용현5동
인성여자중학교,"인천광역시 중구 홍예문로 39 (송학동2가,인성여자중학교)",37.47423949,126.624435,송학동2가,신포동
인천공항중학교,"인천광역시 중구 영종대로27번길 49 , 인천공항중학교 (운서동, 인천공항중학교)",37.49774785,126.4841639,운서동,운서1동
인천남중학교,"인천광역시 미추홀구 수봉로 16-23 (숭의동, 인천남 중학교)",37.46379213,126.6539999,숭의동,숭의4동
박문중학교,"인천광역시 연수구 송도과학로51번길 102 (송도동, 박문중학교)",37.38559779,126.6720928,송도동,송도3동
인하대학교사범대학부속중학교,"인천광역시 미추홀구 재넘이길123번길 29 (학익동, 인하사범대부속중고등학교)",37.44596571,126.6628662,학익동,학익2동
인화여자중학교,인천광역시 미추홀구 석정로 165 (도화동),37.47396441,126.6519788,도화동,도화2.3동
제물포여자중학교,"인천광역시 미추홀구 인주대로470번길 20 (주안동, 제물포여자중학교)",37.44914564,126.6882045,주안동,주안8동
화도진중학교,"인천광역시 동구 화수로 64 (화수동, 화도진중학교)",37.48499013,126.632209,화수동,화수2동
간석여자중학교,"인천광역시 남동구 간석로25번길 13 (간석동, 간석여자중학교)",37.46837559,126.710288,간석동,간석3동
구월여자중학교,"인천 남동구 성말로13번길 78 , 구월여자중학교  (구월동,구월여자중학교)",37.44854554,126.7027391,구월동,구월3동
구월중학교,인천광역시 남동구 남동대로 814 (구월동),37.45562642,126.7087556,구월동,구월2동
남동중학교,"인천광역시 남동구 담방로 7 (만수동, 남동중학교)",37.44026785,126.7382054,만수동,만수6동
논곡중학교,"인천광역시 남동구 논곡로 84 (논현동, 논곡중학교)",37.41492161,126.7120214,논현동,논현2동
동인천중학교,"인천광역시 남동구 구월남로57번길 12 (구월동, 동인천중학교)",37.45482998,126.6975471,구월동,구월3동
만성중학교,"인천광역시 남동구 인주대로 899 (만수동, 만성중학교)",37.44923153,126.7379834,만수동,만수1동
만수북중학교,"인천광역시 남동구 만수서로 117 (만수동, 만수북중학교)",37.46188844,126.739112,만수동,만수4동
만수여자중학교,"인천광역시 남동구 만수로50번길 22-36 (만수동, 만수여자중학교)",37.45920281,126.7339412,만수동,만수4동
만수중학교,"인천광역시 남동구 인수로 13 (만수동,만수중학교)",37.45480199,126.73748,만수동,만수4동
만월중학교,"인천광역시 남동구 서창남순환로 22 (서창동, 만월중학교)",37.4264704,126.7519303,서창동,서창2동
상인천여자중학교,"인천광역시 남동구 문화로169번길 30 (간석동, 상인천여자중학교)",37.45563182,126.6993976,간석동,간석1동
상인천중학교,"인천광역시 남동구 백범로297번길 21 (간석동, 상인천중학교)",37.46139158,126.7161431,간석동,간석2동
선학중학교,"인천광역시 연수구 선학로 19 (선학동, 선학중학교)",37.42050465,126.69864,선학동,선학동
숭덕여자중학교,"인천광역시 남동구 만수로73번길 20-23 (만수동, 숭덕여자중고등학교)",37.46428211,126.7339171,만수동,만수2동
연성중학교,"인천광역시 연수구 원인재로 105 (동춘동, 연성중학교)",37.40899233,126.6773207,동춘동,동춘3동
연수중학교,"인천광역시 연수구 원인재로 231 (연수동, 연수중학교)",37.41679495,126.6864287,연수동,연수3동
연화중학교,"인천광역시 연수구 용담로 156 (연수동, 연화중학교)",37.41233122,126.6803368,연수동,연수2동
인송중학교,"인천광역시 연수구 능허대로79번길 55 (옥련동,인송중학교)",37.42690268,126.6426349,옥련동,옥련2동
인천여자중학교,인천광역시 연수구 원인재로 47 (동춘동),37.40450296,126.674377,동춘동,동춘2동
옥련중학교,"인천광역시 연수구 청량로 222 (옥련동, 옥련중학교)",37.42666155,126.6542629,옥련동,옥련1동
인천중학교,"인천광역시 연수구 함박뫼로 203 (연수동,인천중학교)",37.42141837,126.6890396,연수동,연수3동
청량중학교,"인천광역시 연수구 먼우금로 138 (동춘동, 청량중학교)",37.41044031,126.6735294,동춘동,동춘3동
청학중학교,"인천 연수구 함박뫼로 5 (청학동,청학중학교)",37.41852847,126.6703876,청학동,청학동
