시도,시군구,학교명,도로명주소,위도,경도
서울시교육청,마포구,서울마포초등학교,서울 마포구 도화2길 64,37.53860521,126.949794
서울시교육청,마포구,서울망원초등학교,서울 마포구 방울내로5길 28,37.56104394,126.9011172
서울시교육청,서대문구,서울미동초등학교,서울 서대문구 충정로 52,37.56342085,126.9659131
서울시교육청,서대문구,서울북가좌초등학교,서울 서대문구 거북골로19길 20,37.57770828,126.9076593
서울시교육청,서대문구,서울북성초등학교,서울 서대문구 북아현로1나길 22,37.55939389,126.9518173
서울시교육청,은평구,서울북한산초등학교,서울 은평구 대서문길 42-3,37.65417384,126.9504416
서울시교육청,은평구,서울불광초등학교,서울 은평구 불광로 51,37.61300714,126.9311648
서울시교육청,은평구,서울상신초등학교,서울 은평구 가좌로 361,37.59788835,126.9049484
서울시교육청,마포구,서울상암초등학교,서울 마포구 월드컵북로 353,37.57647009,126.8925004
서울시교육청,마포구,서울상지초등학교,서울 마포구 월드컵로42길 30,37.57978314,126.8822116
서울시교육청,마포구,서울서강초등학교,서울 마포구 독막로 113,37.54839261,126.9270418
서울시교육청,마포구,서울서교초등학교,서울 마포구 와우산로23길 20-27,37.55506599,126.9250977
서울시교육청,은평구,서울서신초등학교,서울 은평구 은평터널로 150,37.59245016,126.9074576
서울시교육청,마포구,서울성산초등학교,서울 마포구 양화로3길 94,37.55327949,126.911071
서울시교육청,마포구,서울성서초등학교,서울 마포구 성미산로7길 24,37.56072731,126.9113088
서울시교육청,마포구,서울성원초등학교,서울 마포구 월드컵로36길 34,37.56726558,126.9051774
서울시교육청,마포구,서울소의초등학교,서울 마포구 마포대로24길 42,37.55259291,126.9608707
서울시교육청,은평구,서울수리초등학교,서울 은평구 불광로14길 10-10,37.6202996,126.9340714
서울시교육청,은평구,서울수색초등학교,서울 은평구 수색로16길 21,37.58504659,126.8954498
서울시교육청,은평구,서울신도초등학교,서울 은평구 진관1로 77-23,37.6329791,126.9292521
서울시교육청,마포구,서울신북초등학교,서울 마포구 월드컵북로38길 26,37.57128387,126.9049958
서울시교육청,은평구,서울신사초등학교,서울 은평구 가좌로 275-2,37.59279782,126.9120023
서울시교육청,마포구,서울신석초등학교,서울 마포구 대흥로 33,37.54430112,126.9379721
서울시교육청,마포구,서울아현초등학교,서울 마포구 굴레방로 6,37.55596095,126.9560794
서울시교육청,서대문구,서울안산초등학교,서울 서대문구 통일로 321,37.5797131,126.9517136
서울시교육청,은평구,서울어울초등학교,서울 은평구 통일로 650,37.6065727,126.9350847
서울시교육청,은평구,서울역촌초등학교,서울 은평구 은평로3길 25,37.60215902,126.9143286
서울시교육청,서대문구,서울연가초등학교,서울 서대문구 증가로12가길 49-50,37.57989257,126.9177957
서울시교육청,은평구,서울연광초등학교,서울 은평구 연서로35길 37,37.62429059,126.9244212
서울시교육청,은평구,서울연신초등학교,서울 은평구 연서로 347,37.6267222,126.9285104
서울시교육청,은평구,서울연은초등학교,서울 은평구 백련산로2길 35,37.59041021,126.925085
서울시교육청,은평구,서울연천초등학교,서울 은평구 연서로34길 22,37.62077627,126.9294857
서울시교육청,서대문구,서울연희초등학교,서울 서대문구 연희로 136,37.56950161,126.9339034
서울시교육청,마포구,서울염리초등학교,서울 마포구 토정로37길 37,37.54270493,126.9460979
서울시교육청,마포구,서울용강초등학교,서울 마포구 백범로17길 9,37.54871901,126.9439706
서울시교육청,은평구,서울은명초등학교,서울 은평구 은평로4길 21-9,37.59764276,126.9187228
서울시교육청,은평구,서울은빛초등학교,서울 은평구 진관3로 73-17,37.64262035,126.9191452
서울시교육청,은평구,서울은진초등학교,서울 은평구 진관1로 21-20,37.63298828,126.9210136
서울시교육청,은평구,서울은평초등학교,서울 은평구 은평로 239,37.60205296,126.9344182
서울시교육청,은평구,서울응암초등학교,서울 은평구 가좌로6길 20,37.58842591,126.9218261
서울시교육청,서대문구,서울인왕초등학교,서울 서대문구 세무서길 33-9,37.59030573,126.9447592
서울시교육청,마포구,서울중동초등학교,서울 마포구 월드컵북로 152,37.56684176,126.9116932
서울시교육청,은평구,서울증산초등학교,서울 은평구 증산서길 61,37.5823801,126.9044835
서울시교육청,은평구,서울진관초등학교,서울 은평구 진관4로 78-16,37.64547386,126.9291043
서울시교육청,서대문구,서울창서초등학교,서울 서대문구 연세로5나길 30-3,37.55770919,126.9335833
서울시교육청,마포구,서울창천초등학교,서울 마포구 백범로1길 56,37.55499867,126.9397152
서울시교육청,마포구,뮤엠하늘초영어교습소,서울 마포구 월드컵북로 502,37.58503717,126.8798643
서울시교육청,마포구,서울한서초등학교,서울 마포구 대흥로24바길 27,37.55363385,126.9497477
서울시교육청,서대문구,서울홍연초등학교,서울 서대문구 백련사길 55,37.58196239,126.930813
서울시교육청,서대문구,서울홍은초등학교,서울 서대문구 세검정로 105,37.59755541,126.9494691
서울시교육청,서대문구,서울홍제초등학교,서울 서대문구 홍은중앙로 13,37.59291109,126.9441051
서울시교육청,은평구,충암초등학교,서울 은평구 가좌로5길 5,37.58542785,126.9224995
서울시교육청,마포구,홍익대학교사범대학부속초등학교,서울 마포구 성미산로 51,37.55961341,126.9133723
서울시교육청,서대문구,경기초등학교,서울 서대문구 경기대로9길 10,37.56518226,126.9627838
서울시교육청,서대문구,명지초등학교,서울 서대문구 명지2길 32-20,37.58364031,126.9282392
서울시교육청,은평구,선일초등학교,서울 은평구 갈현로29길 27,37.61973665,126.9134147
서울시교육청,은평구,예일초등학교,서울 은평구 연서로 117,37.61039773,126.9144098
서울시교육청,서대문구,이화여자대학교사범대학부속초등학교,서울 서대문구 성산로 512-39,37.56130356,126.9427389
서울시교육청,서대문구,추계초등학교,서울 서대문구 북아현로11가길 7,37.5637985,126.9531455
서울시교육청,금천구,서울가산초등학교,서울 금천구 남부순환로 1304-11,37.47820402,126.8963733
서울시교육청,구로구,서울개명초등학교,서울 구로구 개봉로1다길 16-9,37.48301209,126.8504028
서울시교육청,구로구,서울개봉초등학교,서울 구로구 개봉로16길 30-11,37.48969304,126.8584245
서울시교육청,구로구,서울개웅초등학교,서울 구로구 개봉로11길 98,37.48859429,126.8500479
서울시교육청,구로구,서울고산초등학교,서울 구로구 중앙로 6,37.49882291,126.865335
서울시교육청,구로구,서울고원초등학교,서울 구로구 경인로46길 13,37.4975151,126.8657354
서울시교육청,구로구,서울고척초등학교,서울 구로구 경서로 31,37.5010367,126.8569216
서울시교육청,구로구,서울구로남초등학교,서울 구로구 디지털로27길 76,37.48548184,126.8907856
서울시교육청,구로구,서울구로초등학교,서울 구로구 구로중앙로27나길 9,37.49726968,126.8859872
서울시교육청,구로구,서울구일초등학교,서울 구로구 구일로 68,37.4930721,126.8729443
서울시교육청,금천구,서울금나래초등학교,서울 금천구 시흥대로79길 37,37.45819341,126.8963003
서울시교육청,금천구,서울금동초등학교,서울 금천구 금하로30길 53,37.44775757,126.9163764
서울시교육청,금천구,서울금산초등학교,서울 금천구 시흥대로24길 57,37.44141532,126.9078813
서울시교육청,금천구,서울금천초등학교,서울 금천구 탑골로5길 60,37.45481177,126.9128694
서울시교육청,영등포구,서울당산초등학교,서울 영등포구 선유로55길 32,37.53960124,126.8964683
서울시교육청,영등포구,서울당서초등학교,서울 영등포구 당산로 187,37.53186613,126.8995654
서울시교육청,영등포구,서울당중초등학교,서울 영등포구 선유로 131,37.52643019,126.8902327
서울시교육청,영등포구,서울대길초등학교,서울 영등포구 대방천로 206,37.49817927,126.9130181
서울시교육청,영등포구,서울대동초등학교,서울 영등포구 대림로21길 6,37.49366014,126.8997783
서울시교육청,영등포구,서울대방초등학교,서울 영등포구 여의대방로35길 14,37.5023239,126.9193782
서울시교육청,영등포구,서울대영초등학교,서울 영등포구 신길로23길 43,37.50282693,126.906304
서울시교육청,구로구,서울덕의초등학교,서울 구로구 고척로 213,37.50633444,126.8567848
서울시교육청,영등포구,서울도림초등학교,서울 영등포구 가마산로65길 22,37.50794158,126.9069988
서울시교육청,영등포구,서울도신초등학교,서울 영등포구 도림로53길 32-9,37.49883303,126.9010934
서울시교육청,금천구,서울독산초등학교,서울 금천구 시흥대로104길 31,37.46577956,126.9000608
서울시교육청,구로구,서울동구로초등학교,서울 구로구 구로중앙로14길 43,37.49526472,126.8924721
서울시교육청,금천구,서울두산초등학교,서울 금천구 범안로11길 3,37.4674581,126.8908435
서울시교육청,구로구,서울매봉초등학교,서울 구로구 고척로21길 55,37.50456002,126.8444019
서울시교육청,금천구,서울문교초등학교,서울 금천구 독산로54길 102,37.46676702,126.9089173
서울시교육청,영등포구,서울문래초등학교,서울 영등포구 문래로 104,37.51821579,126.8932175
서울시교육청,금천구,서울문백초등학교,서울 금천구 시흥대로47길 43-1,37.44693348,126.8994575
서울시교육청,금천구,서울문성초등학교,서울 금천구 시흥대로 460,37.47496215,126.8994607
서울시교육청,구로구,서울미래초등학교,서울 구로구 새말로 73,37.50512133,126.8881694
