시도교육청명,행정구역명,학원명,도로명주소,위도,경도
서울특별시교육청,강남구,감성예찬미술교습소,"서울특별시 강남구 도곡로93길 12, 301호 (대치동,우성2차아파트)",37.50151236,127.0654747
서울특별시교육청,강남구,강남개포자라다남아미술학원,"서울특별시 강남구 개포로22길 5, 201호 (개포동)",37.47840654,127.0478718
서울특별시교육청,강남구,강남고도미술학원,"서울특별시 강남구 강남대로 240, 302호, 303호, 304호, 307호, 308호, 401호, 404호(도곡동)",37.48525961,127.0344297
서울특별시교육청,강남구,강남구룡스마트플레이스학원,"서울특별시 강남구 개포로 265, 402호 (개포동, 개포동 메디시스빌딩)",37.48090772,127.0529979
서울특별시교육청,강남구,강남그린섬본원학원,"서울특별시 강남구 선릉로 340, 202호, 203호 (대치동, 대치 EM 프라자)",37.50022294,127.0514484
서울특별시교육청,강남구,강남닷츠미술학원,"서울특별시 강남구 선릉로82길 8, 3층 (대치동, 한결 Design house)",37.50240675,127.0507236
서울특별시교육청,강남구,강남대성SII S관퀀텀라이브러리독서실,"서울특별시 강남구 도곡로 429, 3층~7층 전체 (대치동, 베스티안병원)",37.49803346,127.0571975
서울특별시교육청,강남구,강남대성SII두각본관퀀텀라이브러리독서실,"서울특별시 강남구 도곡로77길 3, 4층,5층일부 (대치동, 더스톤 대치)",37.49840476,127.058491
서울특별시교육청,강남구,강남대성두원퀀텀라이브러리독서실,"서울특별시 강남구 테헤란로4길 45, 2층 201-1호, 6층 (역삼동)",37.49550563,127.0310596
서울특별시교육청,강남구,강남대성송민퀀텀라이브러리독서실,"서울특별시 강남구 테헤란로4길 28, 7층 (역삼동, 송민빌딩)",37.49652366,127.0300946
서울특별시교육청,강남구,강남대성원격학원,서울특별시 강남구 테헤란로4길 38-42층 일부(역삼동),37.49595958,127.0302653
서울특별시교육청,강남구,강남대성제2퀀텀라이브러리독서실,"서울특별시 강남구 테헤란로6길 38, 1~3층(역삼동)",37.4961991,127.0311742
서울특별시교육청,강남구,강남대성제4퀀텀라이브러리독서실,"서울특별시 강남구 테헤란로4길 453층, 7층 (역삼동)",37.49550563,127.0310596
서울특별시교육청,강남구,강남대성퀀텀라이브러리독서실,"서울특별시 강남구 테헤란로4길 39, 5.6층 (역삼동, 강남대성빌딩)",37.49585083,127.030979
서울특별시교육청,강남구,강남대성학원,"서울특별시 강남구 테헤란로4길 39, 1층 일부,2~4층 (역삼동, 강남대성빌딩)",37.49585083,127.030979
서울특별시교육청,강남구,강남대치관러닝어취브학원,"서울특별시 강남구 언주로 313, 202호, 204호(역삼동)",37.49562992,127.0456486
서울특별시교육청,강남구,강남라라영어원격학원,서울특별시 강남구 선릉로 5292층 2198호(역삼동),37.50665968,127.0472311
서울특별시교육청,강남구,강남르몽드어학원,"서울특별시 강남구 강남대로94길 21, 3층 일부 (역삼동)",37.49972431,127.0289661
서울특별시교육청,강남구,강남리더스중고등학원,"서울특별시 강남구 헌릉로 569, 602호 (세곡동)",37.46575802,127.1012262
서울특별시교육청,강남구,강남리더스학원,"서울특별시 강남구 헌릉로 569, 601호, 602호 일부 (세곡동)",37.46575802,127.1012262
서울특별시교육청,강남구,강남리드인독서논술교습소,"서울특별시 강남구 자곡로 108, 1층 110호, 111호 (자곡동, 미라클빌딩)",37.47199905,127.0953692
서울특별시교육청,강남구,강남메트로간호종합학원,"서울특별시 강남구 강남대로94길 34, 2층 (역삼동)",37.4997482,127.0300125
서울특별시교육청,강남구,강남멘토학원,서울특별시 강남구 삼성로 3473층 301호 (대치동),37.50252611,127.0585624
서울특별시교육청,강남구,강남미래간호학원,"서울특별시 강남구 개포로82길 9-11, 301호전체, 302호일부, 303호전체 (개포동)",37.48891972,127.0680216
서울특별시교육청,강남구,강남미술교습소,"서울특별시 강남구 역삼로 306, 403호 (역삼동)",37.49897727,127.0469596
