시도명,시군구명,행정동,예방접종_원값,예방접종_정규화,예방접종_가중치
서울특별시,종로구,청운효자동,81.43333333333332,0.0,0.0
서울특별시,종로구,사직동,81.43333333333332,0.0,0.0
서울특별시,종로구,삼청동,81.43333333333332,0.0,0.0
서울특별시,종로구,부암동,81.43333333333332,0.0,0.0
서울특별시,종로구,평창동,81.43333333333332,0.0,0.0
서울특별시,종로구,무악동,81.43333333333332,0.0,0.0
서울특별시,종로구,교남동,81.43333333333332,0.0,0.0
서울특별시,종로구,가회동,81.43333333333332,0.0,0.0
서울특별시,종로구,종로1.2.3.4가동,81.43333333333332,0.0,0.0
서울특별시,종로구,종로5.6가동,81.43333333333332,0.0,0.0
서울특별시,종로구,이화동,81.43333333333332,0.0,0.0
서울특별시,종로구,혜화동,81.43333333333332,0.0,0.0
서울특별시,종로구,창신1동,81.43333333333332,0.0,0.0
서울특별시,종로구,창신2동,81.43333333333332,0.0,0.0
서울특별시,종로구,창신3동,81.43333333333332,0.0,0.0
서울특별시,종로구,숭인1동,81.43333333333332,0.0,0.0
서울특별시,종로구,숭인2동,81.43333333333332,0.0,0.0
서울특별시,중구,소공동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,회현동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,명동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,필동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,장충동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,광희동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,을지로동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,신당동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,다산동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,약수동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,청구동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,신당5동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,동화동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,황학동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,중구,중림동,89.63333333333333,0.6702997275204353,0.06468392370572201
서울특별시,용산구,후암동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,용산2가동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,남영동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,청파동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,원효로1동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,원효로2동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,효창동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,용문동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,한강로동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,이촌1동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,이촌2동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,이태원1동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,이태원2동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,한남동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,서빙고동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,용산구,보광동,85.3,0.3160762942779294,0.030501362397820187
서울특별시,성동구,왕십리2동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,왕십리도선동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,마장동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,사근동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,행당1동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,행당2동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,응봉동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,금호1가동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,금호2.3가동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,금호4가동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,옥수동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,성수1가1동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,성수1가2동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,성수2가1동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,성수2가3동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,송정동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,성동구,용답동,91.96666666666664,0.861035422343323,0.08308991825613067
서울특별시,광진구,화양동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,군자동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,중곡1동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,중곡2동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,중곡3동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,중곡4동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,능동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,광장동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,자양1동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,자양2동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,자양3동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,자양4동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,구의1동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,구의2동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,광진구,구의3동,89.96666666666665,0.6975476839237047,0.0673133514986375
서울특별시,동대문구,신설동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,용두동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,제기동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,전농1동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,전농2동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,답십리1동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,답십리2동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,장안1동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,장안2동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,청량리동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,회기동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,휘경1동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,휘경2동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,이문1동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,동대문구,이문2동,93.4,0.9782016348773832,0.09439645776566748
서울특별시,중랑구,면목2동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,면목4동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,면목5동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,면목본동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,면목7동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,면목3.8동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,상봉1동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,상봉2동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,중화1동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,중화2동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,묵1동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,묵2동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,망우본동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,망우3동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,신내1동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,중랑구,신내2동,92.76666666666664,0.92643051771117,0.08940054495912791
서울특별시,성북구,성북동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,삼선동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,동선동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,돈암1동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,돈암2동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,안암동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,보문동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,정릉1동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,정릉2동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,정릉3동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,정릉4동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,길음1동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,길음2동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,종암동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,월곡1동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,월곡2동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,장위1동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,장위2동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,장위3동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,성북구,석관동,90.66666666666669,0.7547683923705725,0.07283514986376025
서울특별시,강북구,삼양동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,미아동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,송중동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,송천동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,삼각산동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,번1동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,번2동,88.13333333333333,0.5476839237057216,0.052851498637602135
서울특별시,강북구,번3동,88.13333333333333,0.5476839237057216,0.052851498637602135
